"Date,""heat_index"",""humidity"",""NH3_rate"",""sensorId"",""temperature"",""temperaturext"""
"2025-11-29T10:48:32Z,""26.82231"",""50.5"",""0.000087206"",""node_01"",""26.3"",""29.625"""
"2025-11-29T10:37:49Z,""26.10741"",""51.4"",""0.000087206"",""node_01"",""26.1"",""30.1875"""
"2025-11-29T10:27:23Z,""26.01569"",""52.1"",""0.000002033830708"",""node_01"",""26"",""30.1875"""
"2025-11-29T10:16:43Z,""25.9553"",""54"",""0.000052182"",""node_01"",""25.9"",""30.6875"""
"2025-11-29T10:06:16Z,""25.79013"",""56.1"",""0.000087206"",""node_01"",""25.7"",""31.4375"""
"2025-11-29T09:55:46Z,""25.60408"",""57.4"",""0.000052182"",""node_01"",""25.5"",""30.625"""
"2025-11-29T09:45:07Z,""25.51497"",""58.2"",""0.00002887"",""node_01"",""25.4"",""31.1875"""
"2025-11-29T09:34:07Z,""25.31586"",""59"",""0.00002887"",""node_01"",""25.2"",""29.25"""
"2025-11-29T09:23:09Z,""25.23719"",""60.2"",""0.000087206"",""node_01"",""25.1"",""29.125"""
"2025-11-29T09:12:43Z,""25.16636"",""61.7"",""0.00002887"",""node_01"",""25"",""29.125"""
"2025-11-29T09:02:03Z,""25.09031"",""63"",""0.00001435"",""node_01"",""24.9"",""27.9375"""
"2025-11-29T08:51:29Z,""25.0012"",""63.8"",""0.00001435"",""node_01"",""24.8"",""27.25"""
"2025-11-29T08:40:44Z,""24.91731"",""64.8"",""0.000206102"",""node_01"",""24.7"",""26.625"""
"2025-11-29T08:30:28Z,""24.82036"",""65.3"",""0.00000610765987"",""node_01"",""24.6"",""24.5"""
"2025-11-29T08:19:49Z,""24.8282"",""65.6"",""0.00002887"",""node_01"",""24.6"",""22.5625"""
"2025-11-29T08:09:21Z,""24.83342"",""65.8"",""0.00000003084331253"",""node_01"",""24.6"",""21.5"""
"2025-11-29T07:58:33Z,""24.83342"",""65.8"",""0.000206102"",""node_01"",""24.6"",""21"""
"2025-11-29T07:47:54Z,""24.94081"",""65.7"",""0.00000610765987"",""node_01"",""24.7"",""20.9375"""
"2025-11-29T07:37:14Z,""24.93819"",""65.6"",""0.001274888"",""node_01"",""24.7"",""20.5625"""
"2025-11-29T07:26:47Z,""25.0508"",""65.7"",""0.000087206"",""node_01"",""24.8"",""20.5"""
"2025-11-29T07:16:19Z,""25.05603"",""65.9"",""0.000052182"",""node_01"",""24.8"",""20.5625"""
"2025-11-29T07:05:52Z,""25.16603"",""65.9"",""0.00001435"",""node_01"",""24.9"",""20.75"""
"2025-11-29T06:55:26Z,""25.16864"",""66"",""0.006245971"",""node_01"",""24.9"",""20.75"""
"2025-11-29T06:43:52Z,""25.17125"",""66.1"",""0.002018781"",""node_01"",""24.9"",""20.9375"""
"2025-11-29T06:33:25Z,""25.27341"",""65.8"",""0.000052182"",""node_01"",""25"",""20.9375"""
"2025-11-29T06:22:57Z,""25.2708"",""65.7"",""0"",""node_01"",""25"",""21.0625"""
"2025-11-29T06:12:31Z,""25.3808"",""65.7"",""0.00000610765987"",""node_01"",""25.1"",""21.125"""
"2025-11-29T06:02:03Z,""25.37036"",""65.3"",""0.000568779"",""node_01"",""25.1"",""21"""
"2025-11-29T05:51:36Z,""25.48035"",""65.3"",""0.000137268"",""node_01"",""25.2"",""21.1875"""
"2025-11-29T05:41:09Z,""25.58513"",""65.1"",""0.002018781"",""node_01"",""25.3"",""21.0625"""
"2025-11-29T05:30:29Z,""25.57991"",""64.9"",""0.000417086"",""node_01"",""25.3"",""21.25"""
"2025-11-29T05:19:50Z,""25.57469"",""64.7"",""0.000087206"",""node_01"",""25.3"",""21.5"""
"2025-11-29T05:09:11Z,""25.67947"",""64.5"",""0.0000004327743006"",""node_01"",""25.4"",""21.5625"""
"2025-11-29T04:58:32Z,""25.67686"",""64.4"",""0.00000610765987"",""node_01"",""25.4"",""21.6875"""
"2025-11-29T04:47:58Z,""25.78163"",""64.2"",""0.000087206"",""node_01"",""25.5"",""21.75"""
"2025-11-29T04:37:38Z,""25.77119"",""63.8"",""0.000417086"",""node_01"",""25.5"",""21.8125"""
"2025-11-29T04:26:58Z,""25.87335"",""63.5"",""0.00001435"",""node_01"",""25.6"",""21.6875"""
"2025-11-29T04:16:31Z,""25.97291"",""63.1"",""0"",""node_01"",""25.7"",""21.8125"""
"2025-11-29T04:05:52Z,""26.0829"",""63.1"",""0.000206102"",""node_01"",""25.8"",""21.6875"""
"2025-11-29T03:54:52Z,""26.91971"",""62.9"",""0"",""node_01"",""25.9"",""21.75"""
"2025-11-29T03:44:33Z,""26.90981"",""62.6"",""0.000052182"",""node_01"",""25.9"",""22"""
"2025-11-29T03:33:54Z,""27.00775"",""62.2"",""0.00002887"",""node_01"",""26"",""21.8125"""
"2025-11-29T03:23:28Z,""27.10103"",""61.7"",""0.00001435"",""node_01"",""26.1"",""21.875"""
"2025-11-29T03:12:49Z,""27.17555"",""60.8"",""0.00002887"",""node_01"",""26.2"",""21.6875"""
"2025-11-29T03:01:57Z,""27.1625"",""60.5"",""0.00002887"",""node_01"",""26.2"",""21.6875"""
"2025-11-29T02:51:30Z,""27.15381"",""60.3"",""0.002018781"",""node_01"",""26.2"",""21.75"""
"2025-11-29T02:40:35Z,""27.25078"",""60"",""0.000417086"",""node_01"",""26.3"",""21.8125"""
"2025-11-29T02:29:55Z,""27.23676"",""59.7"",""0.000087206"",""node_01"",""26.3"",""22"""
"2025-11-29T02:19:28Z,""27.31786"",""59.1"",""0.000087206"",""node_01"",""26.4"",""21.875"""
"2025-11-29T02:09:01Z,""27.17176"",""58.3"",""0.00000610765987"",""node_01"",""26.3"",""22.0625"""
"2025-11-29T01:58:35Z,""27.22397"",""57.2"",""0.00002887"",""node_01"",""26.4"",""22.25"""
"2025-11-29T01:48:01Z,""27.21419"",""57"",""0.000087206"",""node_01"",""26.4"",""22.0625"""
"2025-11-29T01:37:41Z,""27.30799"",""56.8"",""0.00000610765987"",""node_01"",""26.5"",""22.1875"""
"2025-11-29T01:27:15Z,""27.31318"",""56.9"",""0.000137268"",""node_01"",""26.5"",""22.25"""
"2025-11-29T01:16:49Z,""27.50956"",""56.6"",""0"",""node_01"",""26.7"",""22.25"""
"2025-11-29T01:06:21Z,""27.58792"",""56.1"",""0.000206102"",""node_01"",""26.8"",""22.125"""
"2025-11-29T00:55:54Z,""27.55143"",""55.5"",""0.000087206"",""node_01"",""26.8"",""22.25"""
"2025-11-29T00:45:26Z,""27.62084"",""54.9"",""0.000137268"",""node_01"",""26.9"",""22.1875"""
"2025-11-29T00:34:56Z,""27.5894"",""54.4"",""0.00000610765987"",""node_01"",""26.9"",""22.1875"""
"2025-11-29T00:24:08Z,""27.77588"",""54"",""0.000052182"",""node_01"",""27.1"",""22.1875"""
"2025-11-29T00:13:48Z,""27.77588"",""54"",""0.000052182"",""node_01"",""27.1"",""22.25"""
"2025-11-29T00:03:22Z,""27.75541"",""53.7"",""0.000087206"",""node_01"",""27.1"",""22.25"""
"2025-11-28T23:52:43Z,""27.83475"",""53.3"",""0.000758342"",""node_01"",""27.2"",""22.25"""
"2025-11-28T23:42:17Z,""27.82065"",""53.1"",""0.00002887"",""node_01"",""27.2"",""22.125"""
"2025-11-28T23:31:51Z,""27.90644"",""52.8"",""0.000087206"",""node_01"",""27.3"",""22.0625"""
"2025-11-28T23:21:25Z,""28.01517"",""52.8"",""0.000087206"",""node_01"",""27.4"",""22.25"""
"2025-11-28T23:11:00Z,""28.02279"",""52.9"",""0.000087206"",""node_01"",""27.4"",""22.125"""
"2025-11-28T23:00:34Z,""28.13372"",""52.9"",""0.00000610765987"",""node_01"",""27.5"",""22.1875"""
"2025-11-28T22:48:07Z,""28.13372"",""52.9"",""0.00000610765987"",""node_01"",""27.5"",""22.25"""
"2025-11-28T22:37:28Z,""28.24654"",""52.9"",""0.000137268"",""node_01"",""27.6"",""22.25"""
"2025-11-28T22:27:02Z,""28.36125"",""52.9"",""0.00002887"",""node_01"",""27.7"",""22.4375"""
"2025-11-28T22:15:58Z,""28.36125"",""52.9"",""0.00001435"",""node_01"",""27.7"",""22.625"""
"2025-11-28T22:05:33Z,""28.47786"",""52.9"",""0"",""node_01"",""27.8"",""22.5625"""
"2025-11-28T21:55:07Z,""28.57796"",""52.7"",""0.000137268"",""node_01"",""27.9"",""22.4375"""
"2025-11-28T21:44:34Z,""28.56879"",""52.6"",""0.00001435"",""node_01"",""27.9"",""22.5"""
"2025-11-28T21:34:14Z,""28.65041"",""52.2"",""0.002018781"",""node_01"",""28"",""22.5"""
"2025-11-28T21:23:48Z,""28.86215"",""51.9"",""0"",""node_01"",""28.2"",""22.5"""
"2025-11-28T21:13:06Z,""28.84222"",""51.7"",""0.00001435"",""node_01"",""28.2"",""22.6875"""
"2025-11-28T21:02:40Z,""28.92338"",""51.3"",""0.000002033830708"",""node_01"",""28.3"",""22.5"""
"2025-11-28T20:51:32Z,""29.05647"",""51.4"",""0.00002887"",""node_01"",""28.4"",""22.5"""
"2025-11-28T20:41:07Z,""29.03547"",""51.2"",""0.00002887"",""node_01"",""28.4"",""22.4375"""
"2025-11-28T20:30:35Z,""29.2191"",""50.6"",""0.000297855"",""node_01"",""28.6"",""22.5625"""
"2025-11-28T20:19:49Z,""29.31103"",""50.3"",""0.0000004327743006"",""node_01"",""28.7"",""22.625"""
"2025-11-28T20:09:02Z,""29.54216"",""50.1"",""0.002018781"",""node_01"",""28.9"",""22.625"""
"2025-11-28T19:58:18Z,""29.62319"",""49.7"",""0.00002887"",""node_01"",""29"",""23.1875"""
"2025-11-28T19:47:50Z,""29.6794"",""49.1"",""0.00001435"",""node_01"",""29.1"",""23.625"""
"2025-11-28T19:37:24Z,""29.87655"",""48.6"",""0.000137268"",""node_01"",""29.3"",""23.6875"""
"2025-11-28T19:26:33Z,""29.94334"",""48.1"",""0.00000610765987"",""node_01"",""29.4"",""24.1875"""
"2025-11-28T19:15:54Z,""30.07476"",""47.1"",""0.000052182"",""node_01"",""29.6"",""23.9375"""
"2025-11-28T19:05:26Z,""30.15018"",""45.7"",""0.000002033830708"",""node_01"",""29.8"",""24.5625"""
"2025-11-28T18:54:34Z,""30.13365"",""44.6"",""0.00000610765987"",""node_01"",""29.9"",""24.875"""
"2025-11-28T18:43:43Z,""30.28307"",""43.8"",""0.00002887"",""node_01"",""30.1"",""25.25"""
"2025-11-28T18:33:17Z,""30.29015"",""42.9"",""0.000002033830708"",""node_01"",""30.2"",""25.75"""
"2025-11-28T18:22:51Z,""30.33665"",""42.3"",""0.00002887"",""node_01"",""30.3"",""26.1875"""
"2025-11-28T18:12:13Z,""30.36917"",""41.6"",""0.00002887"",""node_01"",""30.4"",""26.8125"""
"2025-11-28T17:59:52Z,""30.43653"",""42.1"",""0.001274888"",""node_01"",""30.4"",""27.4375"""
"2025-11-28T17:49:26Z,""30.55066"",""42"",""0.00000610765987"",""node_01"",""30.5"",""28.125"""
"2025-11-28T17:38:41Z,""30.67985"",""42"",""0.000087206"",""node_01"",""30.6"",""28.8125"""
"2025-11-28T17:28:21Z,""30.62357"",""41.6"",""0.00002887"",""node_01"",""30.6"",""29.0625"""
"2025-11-28T17:17:43Z,""30.75297"",""41.6"",""0.0000004327743006"",""node_01"",""30.7"",""29.25"""
"2025-11-28T17:07:04Z,""30.91316"",""41.8"",""0.000137268"",""node_01"",""30.8"",""29.4375"""
"2025-11-28T16:56:37Z,""30.7971"",""41"",""0"",""node_01"",""30.8"",""30.5625"""
"2025-11-28T16:46:11Z,""30.95752"",""42.1"",""0.000206102"",""node_01"",""30.8"",""32.1875"""
"2025-11-28T16:35:45Z,""31.12197"",""42.3"",""0.00000610765987"",""node_01"",""30.9"",""33.1875"""
"2025-11-28T16:24:54Z,""31.07632"",""42"",""0.000087206"",""node_01"",""30.9"",""31.375"""
"2025-11-28T16:13:50Z,""30.94217"",""41.1"",""0.000297855"",""node_01"",""30.9"",""31.5"""
"2025-11-28T16:01:49Z,""30.92752"",""41"",""0.00000610765987"",""node_01"",""30.9"",""31.875"""
"2025-11-28T15:50:55Z,""30.82642"",""40.3"",""0.00000610765987"",""node_01"",""30.9"",""32.25"""
"2025-11-28T15:40:10Z,""30.67502"",""38.3"",""0.000417086"",""node_01"",""31"",""32.5625"""
"2025-11-28T15:29:31Z,""29.96815"",""32.4"",""0"",""node_01"",""31"",""33.3125"""
"2025-11-28T15:18:52Z,""29.83694"",""31.1"",""0.000568779"",""node_01"",""31"",""34.25"""
"2025-11-28T15:07:48Z,""29.94303"",""31.1"",""0.00000610765987"",""node_01"",""31.1"",""35.4375"""
"2025-11-28T14:56:44Z,""29.77044"",""31.5"",""0.00001435"",""node_01"",""30.9"",""34.875"""
"2025-11-28T14:45:39Z,""29.62794"",""31.1"",""0.00002887"",""node_01"",""30.8"",""34.625"""
"2025-11-28T14:34:52Z,""29.45381"",""30.3"",""0.000052182"",""node_01"",""30.7"",""35.5625"""
"2025-11-28T14:24:06Z,""29.40549"",""30.9"",""0.000087206"",""node_01"",""30.6"",""34.0625"""
"2025-11-28T14:13:14Z,""29.3009"",""32"",""0.00000610765987"",""node_01"",""30.4"",""36.8125"""
"2025-11-28T14:02:47Z,""29.21789"",""32.2"",""0.0000004327743006"",""node_01"",""30.3"",""37.5625"""
"2025-11-28T13:52:17Z,""29.03625"",""32.4"",""0.00000610765987"",""node_01"",""30.1"",""36.9375"""
"2025-11-28T13:41:47Z,""28.91365"",""32.1"",""0.000002033830708"",""node_01"",""30"",""36.3125"""
"2025-11-28T13:31:16Z,""28.72184"",""33.3"",""0.000052182"",""node_01"",""29.7"",""35.9375"""
"2025-11-28T13:20:45Z,""28.42471"",""33.1"",""0.00002887"",""node_01"",""29.4"",""35.1875"""
"2025-11-28T13:10:18Z,""28.33767"",""34.4"",""0.000087206"",""node_01"",""29.2"",""34.75"""
"2025-11-28T12:59:40Z,""28.095"",""34.8"",""0.000002033830708"",""node_01"",""28.9"",""35.6875"""
"2025-11-28T12:49:12Z,""27.97392"",""35.6"",""0.00000003084331253"",""node_01"",""28.7"",""34"""
"2025-11-28T12:38:44Z,""27.90689"",""35.9"",""0.000206102"",""node_01"",""28.6"",""37"""
"2025-11-28T12:28:17Z,""27.75421"",""36.2"",""0.000137268"",""node_01"",""28.4"",""34.6875"""
"2025-11-28T12:17:25Z,""27.59764"",""37.7"",""0.00001435"",""node_01"",""28.1"",""34.0625"""
"2025-11-28T12:06:58Z,""27.28291"",""37.9"",""0.000087206"",""node_01"",""27.7"",""33.125"""
"2025-11-28T11:56:25Z,""27.16585"",""38.6"",""0.00002887"",""node_01"",""27.5"",""33.0625"""
"2025-11-28T11:46:04Z,""27.09425"",""38.7"",""0.000206102"",""node_01"",""27.4"",""31.25"""
"2025-11-28T11:35:37Z,""26.91618"",""39.6"",""0.00001435"",""node_01"",""27.1"",""30.875"""
"2025-11-28T11:24:58Z,""26.78571"",""39.9"",""0.000002033830708"",""node_01"",""26.9"",""30.5625"""
"2025-11-28T11:14:18Z,""26.7668"",""41"",""0.000052182"",""node_01"",""26.8"",""31"""
"2025-11-28T11:00:54Z,""26.6911"",""40.9"",""0.000087206"",""node_01"",""26.7"",""30.6875"""
